Cod. Municipio|Departamento|Municipio|Actividades primarias|Actividades secundarias|Actividades terciarias|Valor agregado 2022|Peso relativo municipal en el valor agregado departamental (%)|% Act. primarias municipio|% Act. secundarias municipio|% Act. terciarias municipio|Valor agregado 2021|Crecimiento 2022
05659|Antioquia|San Juan de Urabá|96,16897756507451|13,173733156110453|193,20511189161252|302,5478226127975|0,15800852503653004|31,78637239381231|4,354264738163486|63,85936286802419|225,67731496452518|34,06213321013494
05660|Antioquia|San Luis|17,603584490991885|10,599766595121704|147,61682560085768|175,82017668697128|0,0918237868977323|10,012266409180759|6,0287543755535165|83,95897921526571|139,75884568756913|25,802539239639422
05664|Antioquia|San Pedro de Los Milagros|197,84365108308552|709,847717293858|358,462576290421|1266,1539446673646|0,6612611372917283|15,625560534431038|56,06330259314119|28,311136872427774|1031,722777740365|22,72230215178932
05665|Antioquia|San Pedro de Urabá|99,9205024749089|18,182010433938018|300,550556024439|418,6530689332859|0,21864561229655707|23,867137228804513|4,34297794120205|71,78988482999344|335,1631396768503|24,910236053085377
05667|Antioquia|San Rafael|27,160126711226678|11,594274484333798|165,04816722441066|203,80256841997112|0,10643786148118851|13,326685194299637|5,688973683806453|80,98434112189392|264,9112044015733|-23,067592070952525
05670|Antioquia|San Roque|97,1018675197633|21,09571713928851|227,47517829936731|345,6727629584191|0,18053094201330258|28,09069094386348|6,1027999309931475|65,80650912514338|264,8422273194614|30,520259724842624
05674|Antioquia|San Vicente|224,1475774210137|20,194313954392467|221,6333395599409|465,9752309353471|0,24336006885721426|48,10289529146961|4,333774117962587|47,5633305905678|339,41116393217334|37,289305848662615
05679|Antioquia|Santa Bárbara|185,6457418311382|23,327191130250426|290,9890978808837|499,9620308422723|0,2611100036530689|37,1319681053351|4,6657925384757215|58,20223935618918|409,6698982876141|22,04021650896777
05686|Antioquia|Santa Rosa de Osos|259,8916672996634|306,41188417372723|608,2095746444068|1174,5131261177974|0,6134008339284179|22,12760858269009|26,088417179851575|51,78397423745834|962,8495792777228|21,983033632195493
05690|Antioquia|Santo Domingo|359,1238871104117|16,804877837523794|139,55106996583774|515,4798349137733|0,26921432683731383|69,66788277382064|3,260045631141871|27,072071595037485|374,5515635007703|37,625866541794075
05697|Antioquia|El Santuario|302,80764905800135|48,89304646970101|395,0088733521885|746,7095688798909|0,38997629065859957|40,55226579086578|6,547799640902355|52,89993456823186|540,1688396965488|38,23632797837257
05736|Antioquia|Segovia|1151,9348425683627|28,15348322606989|524,8946221895513|1704,982947983984|0,8904438263572175|67,5628365627023|1,6512472021705142|30,785916235127182|1090,4123860170896|56,36129686784965
05756|Antioquia|Sonsón|696,6873945319678|383,9047933477603|502,81663574401074|1583,4088236237387|0,826950564674238|43,999211330498426|24,245462550168696|31,75532611933289|1176,6173189605151|34,57296591746621
05761|Antioquia|Sopetrán|41,60763423439333|11,835511188199906|207,0588136117909|260,50195903438413|0,13604966633267884|15,972100320712546|4,543348246620178|79,48455143266729|200,84838761123632|29,700796771450165
05789|Antioquia|Támesis|198,75254041046904|36,41899782327909|181,51584077948652|416,68737901323465|0,2176190117338289|47,698238636634194|8,740125009191212|43,561636354174595|317,4107281358632|31,277030697865204
05790|Antioquia|Tarazá|79,3142885344354|18,43842370513971|343,30163171991666|441,0543439594918|0,23034489472820896|17,98288342937621|4,18053329655748|77,8365832740663|355,9002465562145|23,926394608391256
05792|Antioquia|Tarso|72,66550484913249|6,813072848170059|73,8197396479314|153,29831734523395|0,08006152814162656|47,40137146155809|4,444323307754739|48,154305230687164|119,67245682932744|28,09824533297791
05809|Antioquia|Titiribí|64,849310009877|8,113949018279035|117,9511080748967|190,9143671030527|0,09970687375543516|33,967747422001146|4,250046312072076|61,78220626592679|141,70168558743927|34,72977848611827
05819|Antioquia|Toledo|31,11492121950651|5,4393773706106066|82,68805337041282|119,24235196052993|0,0622754710063914|26,09385063941524|4,561615299580034|69,34453406100472|108,8606908755874|9,536648170648965
05837|Antioquia|Turbo|1375,0102136600622|152,13104159852713|1913,5618922515343|3440,703147510124|1,796940479463972|39,9630585583965|4,42151022847226|55,61543121313124|2785,049339690476|23,541909957419847
05842|Antioquia|Uramita|80,39901036355712|7,28370220096527|64,18313943748909|151,86585200201148|0,07931340926873617|52,94080881493506|4,79614219058857|42,26304899447637|135,2167530180252|12,312896599260048
05847|Antioquia|Urrao|583,8518317324739|47,73146850591823|331,5671515587013|963,1504517970934|0,5030146340583478|60,61896463248234|4,955764534695334|34,42527083282233|737,1298063451679|30,662258330399016
05854|Antioquia|Valdivia|30,00961893602164|8,376615040098297|153,54975778712415|191,9359917632441|0,10024042711008739|15,635222274016721|4,364275279037283|80,000502446946|152,89804492919995|25,532011774330286
05856|Antioquia|Valparaíso|288,4924696841732|16,509479081667575|86,03180281381348|391,0337515796543|0,2042211568175026|73,77687182212628|4,222008717911033|22,00111945996269|213,69466213094597|82,98714047430909
05858|Antioquia|Vegachí|195,82498298373378|11,190040113927408|140,02004633819965|347,0350694358608|0,1812424197403254|56,42800979799139|3,224469541973929|40,34752066003469|161,92147698234317|114,32306319297192
05861|Antioquia|Venecia|131,53096105978207|16,088124897916572|184,89384458573386|332,5129305434325|0,1736580923207726|39,55664546483001|4,838345646174851|55,60500888899513|232,1148704963285|43,25360965991709
05873|Antioquia|Vigía del Fuerte|30,46702882166831|5,189754212563982|87,33124105732324|122,98802409155553|0,06423168448557828|24,772354094401784|4,219723221750918|71,0079226838473|98,74774472889504|24,5476789664518
05885|Antioquia|Yalí|23,06222459977684|4,66486884614747|79,93457710843292|107,66167055435723|0,05622734819359178|21,421016858672065|4,3328965843904745|74,24608655693746|89,18942626323096|20,7112491525709
05887|Antioquia|Yarumal|99,12358507317035|220,84193188417186|568,3371971544299|888,302714111772|0,4639246795121719|11,158761928616372|24,86111191329582|63,98012615808781|711,7655250669461|24,802717022325794
05890|Antioquia|Yolombó|160,74617255055657|25,272411445166103|227,20566707777866|413,22425107350136|0,21581035968984988|38,900469208416375|6,115907132631194|54,98362365895242|345,95735956976995|19,443694329088434
05893|Antioquia|Yondó|1206,8928354988886|15,468755834634862|223,50333877682317|1445,8649301103464|0,7551169366740562|83,47203188660093|1,069861749358172|15,458106364040914|1051,2597815696429|37,536406838613765
05895|Antioquia|Zaragoza|176,74808081615856|15,93447725043269|263,1181058342151|455,80066390080634|0,23804630286766168|38,77749525494842|3,495931119113164|57,72657362593843|382,1398884111154|19,275866697915834
08001|Atlántico|Barranquilla|5,31439709176186|8123,612505845729|28233,952498726572|36362,87940166406|64,08470594117573|0,01461489623266374|22,34039943897834|77,644985664789|30793,608936779947|18,085799804491785
08078|Atlántico|Baranoa|96,10612403016783|368,636692259439|557,2115426919578|1021,9543589815646|1,801057717603057|9,404150311168792|36,0717373549643|54,52411233386692|812,3487329257292|25,802419276377343
08137|Atlántico|Campo de La Cruz|13,732104113319036|8,390271909735809|180,3715644667091|202,49394048976393|0,35686845609268797|6,781488907819043|4,143468140055251|89,0750429521257|166,15426182040932|21,871048188118692
08141|Atlántico|Candelaria|13,656598219714736|6,1544598947693405|130,81379216835447|150,62485028283854|0,26545612989513667|9,066630236691232|4,085952539181079|86,8474172241277|123,02638180241829|22,432967690412696
08296|Atlántico|Galapa|45,42104479955497|563,0242793109584|933,2442272262427|1541,689551336756|2,717021401376644|2,9461861994311143|36,519951686951224|60,533862113617666|1328,4270512592755|16,053760714622566
08372|Atlántico|Juan de Acosta|7,7342850435045|13,797979078657239|223,05454424720813|244,58680836936986|0,4310514994784619|3,1621840503451626|5,641342299139788|91,19647365051506|197,12113910935992|24,07944144117222
08421|Atlántico|Luruaco|46,533617991960256|18,905214082700102|226,2222358690956|291,66106794375594|0,5140135787159232|15,954689571709935|6,4819121098280394|77,56339831846203|229,00301837837796|27,36123305669671
08433|Atlántico|Malambo|76,25884620056313|1371,7893802186652|1437,054852114412|2885,10307853364|5,084607859446578|2,6431931242928712|47,54732648636873|49,8094803893384|2343,4915996532254|23,111304472376126
08436|Atlántico|Manatí|21,882518346998317|11,337320373096562|188,7662835849683|221,9861223050632|0,3912208165311251|9,857606466464777|5,10722033223154|85,03517320130368|175,86398339734174|26,226028784708276
08520|Atlántico|Palmar de Varela|30,86706146652625|372,8249121478595|231,70023622855865|635,3922098429443|1,1197936905743362|4,857954030339141|58,67634295359303|36,46570301606784|502,73950279061205|26,385972519764643
08549|Atlántico|Piojó|13,721036605813824|3,4732850500372408|60,155953572635966|77,35027522848702|0,1363195028570745|17,738833592101503|4,490333149788301|77,7708332581102|75,21599884201622|2,8375298065955956
08558|Atlántico|Polonuevo|87,63681995351149|10,483871963764942|147,31203117008695|245,4327230873634|0,43254231090060247|35,707064180808764|4,271586865795862|60,02134895339537|192,79611006281212|27,301698674004626
