Cod. Municipio|Departamento|Municipio|AÑO|Población municipio|Total Hombres|Total Mujeres|% mujeres municipio|% jóvenes municipio
15690|Boyacá|Santa María|2024|3758|1948|1810|48,16391697711549|19,638105375199576
15693|Boyacá|Santa Rosa de Viterbo|2024|14128|7390|6738|47,6925254813137|24,80181200453001
15696|Boyacá|Santa Sofía|2024|3398|1729|1669|49,11712772218952|18,510888758092996
15720|Boyacá|Sativanorte|2024|2319|1180|1139|49,115998275118585|16,81759379042691
15723|Boyacá|Sativasur|2024|1163|532|631|54,256233877901984|18,572656921754085
15740|Boyacá|Siachoque|2024|7204|3736|3468|48,13992226540811|22,18212104386452
15753|Boyacá|Soatá|2024|9518|4530|4988|52,405967640260556|19,62597184282412
15755|Boyacá|Socotá|2024|7688|4088|3600|46,82622268470343|20,56451612903226
15757|Boyacá|Socha|2024|8525|4246|4279|50,193548387096776|22,123167155425218
15759|Boyacá|Sogamoso|2024|137759|65957|71802|52,12145848910053|23,5084459091602
15761|Boyacá|Somondoco|2024|3088|1526|1562|50,582901554404145|14,248704663212436
15762|Boyacá|Sora|2024|3239|1679|1560|48,163013275702376|22,630441494288362
15763|Boyacá|Sotaquirá|2024|8791|4541|4250|48,34489819133204|21,294505744511433
15764|Boyacá|Soracá|2024|6430|3197|3233|50,27993779160187|22,76827371695179
15774|Boyacá|Susacón|2024|2868|1479|1389|48,43096234309623|18,758716875871688
15776|Boyacá|Sutamarchán|2024|6587|3323|3264|49,552148170639136|21,84606042204342
15778|Boyacá|Sutatenza|2024|4536|2221|2315|51,03615520282187|17,12962962962963
15790|Boyacá|Tasco|2024|6216|3154|3062|49,25997425997426|20,463320463320464
15798|Boyacá|Tenza|2024|4087|2008|2079|50,86860778076829|16,246635674088576
15804|Boyacá|Tibaná|2024|9694|4776|4918|50,73241180111408|17,918299979368683
15806|Boyacá|Tibasosa|2024|14063|6963|7100|50,48709379222072|22,712081348218728
15808|Boyacá|Tinjacá|2024|3537|1747|1790|50,607859768165106|19,536330223353122
15810|Boyacá|Tipacoque|2024|3522|1802|1720|48,8358886996025|19,875070982396366
15814|Boyacá|Toca|2024|9428|4799|4629|49,09843020789138|22,952906236741622
15816|Boyacá|Togüí|2024|4629|2366|2263|48,88744869302225|17,80082091164398
15820|Boyacá|Tópaga|2024|3877|1870|2007|51,76683002321383|23,316997678617486
15822|Boyacá|Tota|2024|5551|2779|2772|49,93694829760403|20,771032246442083
15832|Boyacá|Tununguá|2024|1651|910|741|44,881889763779526|19,382192610539068
15835|Boyacá|Turmequé|2024|6528|3236|3292|50,42892156862745|17,15686274509804
15837|Boyacá|Tuta|2024|8915|4361|4554|51,08244531688166|21,51430173864274
15839|Boyacá|Tutazá|2024|2193|1057|1136|51,801185590515274|20,656634746922027
15842|Boyacá|Úmbita|2024|8043|4164|3879|48,22827303245058|18,87355464378963
15861|Boyacá|Ventaquemada|2024|17012|8506|8506|50,0|22,390077592287795
15879|Boyacá|Viracachá|2024|3006|1542|1464|48,70259481037924|19,494344644045242
15897|Boyacá|Zetaquira|2024|4954|2521|2433|49,111828825191765|19,05530884134033
17001|Caldas|Manizales|2024|457022|214985|242037|52,959594942913036|22,09302834436854
17013|Caldas|Aguadas|2024|23525|11686|11839|50,32518597236982|19,251859723698196
17042|Caldas|Anserma|2024|37573|18838|18735|49,862933489473825|20,048971335799642
17050|Caldas|Aranzazu|2024|10863|5080|5783|53,23575439565498|18,659670440946332
17088|Caldas|Belalcázar|2024|10950|5543|5407|49,37899543378995|20,575342465753423
17174|Caldas|Chinchiná|2024|53609|25604|28005|52,23936279356079|21,744483202447352
17272|Caldas|Filadelfia|2024|11737|5891|5846|49,80829854306893|17,815455397461022
17380|Caldas|La Dorada|2024|75448|36400|39048|51,75485102322129|21,625490403986852
17388|Caldas|La Merced|2024|6293|3189|3104|49,32464643254409|18,27427300174797
17433|Caldas|Manzanares|2024|18789|9432|9357|49,800415136516044|19,804140720634415
17442|Caldas|Marmato|2024|9284|4708|4576|49,28909952606635|23,707453683757002
17444|Caldas|Marquetalia|2024|13701|6859|6842|49,93796073279322|19,115393037004598
17446|Caldas|Marulanda|2024|2726|1430|1296|47,54218635363169|18,451944240645634
17486|Caldas|Neira|2024|21644|10797|10847|50,115505451857324|20,264276473849566
17495|Caldas|Norcasia|2024|6146|3050|3096|50,374227139602986|23,088187438984704
17513|Caldas|Pácora|2024|15791|7939|7852|49,724526629092516|18,396554999683364
17524|Caldas|Palestina|2024|16062|8094|7968|49,607769891669776|20,701033495206076
17541|Caldas|Pensilvania|2024|20331|10224|10107|49,71226206285967|19,457970586788647
17614|Caldas|Riosucio|2024|54078|26954|27124|50,15718036909649|20,572136543511224
17616|Caldas|Risaralda|2024|11333|5908|5425|47,86905497220506|20,250595605753112
17653|Caldas|Salamina|2024|20066|9995|10071|50,18937506229443|18,419216585268614
17662|Caldas|Samaná|2024|21415|10837|10578|49,395283679663784|19,383609619425638
17665|Caldas|San José|2024|4953|2544|2409|48,63718958207147|18,61498081970523
17777|Caldas|Supía|2024|29990|14783|15207|50,70690230076692|22,054018006002003
17867|Caldas|Victoria|2024|10525|5169|5356|50,88836104513064|19,87648456057007
17873|Caldas|Villamaría|2024|69021|33234|35787|51,849437127830655|21,799162573709452
17877|Caldas|Viterbo|2024|13235|6260|6975|52,701171137136384|21,148469965999244
18001|Caquetá|Florencia|2024|179233|88551|90682|50,5944775794636|28,06402838762951
18029|Caquetá|Albania|2024|4794|2417|2377|49,582811848143514|25,761368377138087
18094|Caquetá|Belén de Los Andaquíes|2024|11557|5705|5852|50,63597819503332|26,866833953448126
18150|Caquetá|Cartagena del Chairá|2024|32841|16606|16235|49,435157272921046|26,135014159130353
18205|Caquetá|Curillo|2024|8109|4010|4099|50,54877296830682|25,453200147983722
18247|Caquetá|El Doncello|2024|20336|9982|10354|50,91463414634146|24,26239181746656
18256|Caquetá|El Paujíl|2024|19290|9805|9485|49,17055469155003|25,78538102643857
18410|Caquetá|La Montañita|2024|15621|8104|7517|48,121119006465655|24,998399590295115
18460|Caquetá|Milán|2024|10339|5290|5049|48,83451010736048|25,7471709062772
18479|Caquetá|Morelia|2024|3930|1967|1963|49,94910941475827|25,34351145038168
18592|Caquetá|Puerto Rico|2024|27890|13988|13902|49,84582287558265|26,726425242022227
18610|Caquetá|San José del Fragua|2024|13801|6957|6844|49,590609376132164|26,802405622780956
18753|Caquetá|San Vicente del Caguán|2024|54575|28078|26497|48,55153458543289|26,704535043518096
